SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes
CH,Mt_Wallace,Lava_shield,-37.7505,144.2133,,,Olivine basalt,,59,10800,518,FALSE,9.648045316,17,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Mt_Warrenheip,Scoria_cone,-37.5751,143.9582,,"1, 1.04+- 0.03","Alkali Olivine Basalt, K rich Nepheline hawaiite",,189,10800,518,FALSE,24.65512293,45.9,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Muses_Hill,Lava_shield,-37.3585,144.3049,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,30,10800,518,FALSE,3.205215931,5.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,ODonnell_Hill,Scoria_cone,-37.5705,144.0955,,,Olivine Basalt,,60,10800,518,FALSE,6.842773413,12,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Pattens_Hill,Lava_shield,-37.2182,144.3215,,,Transitional Basalt,,60,10800,518,FALSE,13.2788363,23.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Poverty_Point,Lava_shield,-37.5564,144.1002,,,Hawaiite,,40,10800,518,FALSE,12.07910463,21.4,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Powlett_Hill,Scoria_cone,-37.26,143.9308,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,,Hawaiite,,100,10800,518,FALSE,15.26966201,27.3,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Pretty_Sally,Lava_shield,-37.3804,144.9651,,,Basanite to alkali basalt,,35,10800,518,FALSE,12.1886332,21.6,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Pykes_Hill,Lava_shield,-37.576,144.2773,,,Olivine basalt,,113,10800,518,FALSE,15.7484519,28.2,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
CH,Quoin_Hill,Scoria_cone,-37.3472,143.6033,,,K-Rich Hawaiite,,100,10800,518,FALSE,13.38733365,23.8,FALSE,FALSE,FALSE,FALSE,FALSE,7,TRUE,FALSE,FALSE,0,FALSE
