SUB_PROVINCE,Volcanic Centre Name,VOLCANIC_CENTRE_DESCRIPTION_NEW,LAT_CENTRE,LON_CENTRE,COMMENTS,AGE_MA,Bulk Geochem,VEI,Cone Height (m),Recurrence_Interval,Average_Rainfall,Rebuilt_Flank,Max_Slope_Degrees,Max_Slope_%,Water,Recorded_PDC,Geo_PDC,Recorded_Lahar,Geo_Lahar,PM2.5,Built_3km,Shoreline_15km,LavaDelta,DeltaSlope,Unstable_Slopes,Recurrence_score,Lahar_Score,PDC_Score,Tephra_Score,Tsunami_Score,Littoral_Score,Total_Hazard_Score
CH,Green_Hill_Pootilla,Lava_shield,-37.515,143.9677,,,Tholeiite to mildly alkalic olivine basalt,,37.0,10800,518,False,11.80489234,20.9,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Green_Hill_Snake_Valley,Lava_shield,-37.6042,143.6028,,,Tholeiite to mildly alkalic olivine basalt,,21.0,10800,518,False,9.369385096,16.5,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Green_Hill_Wallan,Lava_shield,-37.4232,144.9843,,,Basanite to alkali basalt,,60.0,10800,518,False,15.37625125,27.5,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Green_Hills_Greendale,Lava_shield,-37.5006,144.2907,,,Olivine basalt,,32.0,10800,518,False,13.1159085,23.3,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Grenville_Hill,Lava_shield,-37.6781,143.8772,,,K-Rich Hawaiite,,34.0,10800,518,False,12.35275639,21.9,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Happy_Valley,Magmatic_Volcanic_Complex,-37.7104,143.5616,,5.1 ± 0.08,Tholeiite to mildly alkalic olivine basalt,,30.0,10800,518,False,4.744674289,8.3,False,False,False,False,False,7,True,False,False,0,False,4,0,0,7.0,0,0,0.9597156999700001
CH,Hardie_Hill,Maar,-37.7414,143.8799,,,Tholeiite to mildly alkalic olivine basalt,,68.0,10800,518,False,10.75796709,19.0,False,False,False,False,False,7,True,False,False,0,False,4,0,3,7.0,0,0,2.53605787537
CH,Hayes_Hill,Lava_shield,-37.5391,145.0047,,,Olivine basalt to trachyandesite,,30.0,10800,518,False,13.1159085,23.3,False,False,False,False,False,7,True,False,False,0,False,4,2,4,3.5,0,0,3.215712653985
CH,Heaghney_Hill,Lava_shield,-37.23,144.0085,,,Transitional Basalt,,40.0,10800,518,False,11.19970602,19.8,False,False,False,False,False,7,True,False,False,0,False,4,0,2,3.5,0,0,1.7307526335849999
CH,Hepburn_Lagoon,Maar,-37.3718,143.9969,,,,,16.0,10800,518,False,5.313224638,9.3,False,False,False,False,False,7,True,False,False,0,False,4,0,0,7.0,0,0,0.9597156999700001
CH,Holcombe_Hill,Scoria_cone,-37.2787,144.1992,,,K Rich Nepheline Hawaiite,,60.0,10800,518,False,9.703722541,17.1,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
CH,Hopwoods_Hill,Scoria_cone,-37.6098,144.0983,,,Olivine basalt,,60.0,10800,518,False,9.59234969,16.9,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
CH,Kangaroo_Hill_Denver,Scoria_cone,-37.2699,144.309,,2.62 +- 0.03,Transitional Basalt,,60.0,10800,518,False,17.9004566,32.3,False,False,False,False,False,7,True,False,False,0,False,4,3,3,3.5,0,0,2.907297880585
CH,Kangaroo_Hills_Kingston,Scoria_cone,-37.3538,144.0073,,,"Basaltic icelandite, olivine tholeiite, transitional basalt",,105.0,10800,518,False,17.4322886,31.4,False,False,False,False,False,7,True,False,False,0,False,4,5,5,3.5,0,0,4.392257900984999
CH,Kelly_Hill_Glengower,Scoria_cone,-37.2617,143.8815,Birch Creek Volcanic Complex - highest concentration of scoria cones in NVP,,,,90.0,10800,518,False,13.00716973,23.1,False,False,False,False,False,7,True,False,False,0,False,4,0,3,3.5,0,0,2.256200025385
